,precision,recall,f1-score,support
Angry,0.6296296296296297,0.425,0.5074626865671642,40.0
Disgusted,0.75,0.3,0.42857142857142855,40.0
Fearful,0.5,0.575,0.5348837209302325,40.0
Happy,1.0,0.075,0.13953488372093023,40.0
Neutral,0.29133858267716534,0.925,0.4431137724550898,40.0
Sad,0.5263157894736842,0.25,0.3389830508474576,40.0
Suprised,0.9047619047619048,0.95,0.926829268292683,40.0
accuracy,0.5,0.5,0.5,0.5
macro avg,0.6574351295060549,0.5,0.47419697305499797,280.0
weighted avg,0.6574351295060548,0.5,0.474196973054998,280.0
